rota,id,escolas_postos,tipo_escola,logradouro,numero,bairro,subprefeitura,lat,lon,quantidade
24,226,EM AFRANIO PEIXOTO,EM,RUA,328,ANDARAI,GRANDE TIJUCA,-22.92686,-43.25491,164
25,490,E.M TIA CIATA,EM,AVENIDA,-1,CENTRO,CENTRO,-22.90712,-43.19507,578
26,638,E.M AZEVEDO SODRE,EM,RUA,331,PRACA DA BANDEIRA,GRANDE TIJUCA,-22.91545,-43.21109,293
27,515,CIEP HILDEBRANDO DE ARAUJO GOES,CIEP,ESTRADA,-1,PEDRA DE GUARATIBA,ZONA OESTE,-22.97451,-43.64817,341
28,163,EM LAUDIMIA TROTTA,EM,RUA,370,TIJUCA,GRANDE TIJUCA,-22.92684,-43.23789,576
29,361,EM PRUDENTE DE MORAES,EM,RUA,36,TIJUCA,GRANDE TIJUCA,-22.92906,-43.23287,63
30,342,E.M FERNANDO COSTA,EM,RUA,-1,CAMPO GRANDE,ZONA OESTE,-22.89036,-43.59399,296
31,011,CIEP SAMUEL WEINER,CIEP,AVENIDA,-1,TIJUCA,GRANDE TIJUCA,-22.92127,-43.228,445
32,399,CIEP CLEMENTINA DE JESUS,CIEP,AVENIDA,-1,CAMPO GRANDE,ZONA OESTE,-22.92529,-43.56665,71
33,663,EM CIENTISTA MARIO KROEFF,EM,RUA,91,PENHA,ZONA NORTE,-22.83896,-43.27517,426
34,121,EM DILERMANDO CRUZ,EM,AVENIDA,407,RAMOS,ZONA NORTE,-22.85387,-43.25245,167
35,379,CIEP NELSON MANDELA,CIEP,PRACA,-1,CAMPO GRANDE,ZONA OESTE,-22.89558,-43.57051,109
36,584,ESCOLA MUNICIPAL NELSON ROMERO,EM,RUA,-1,SEPETIBA,ZONA OESTE,-22.97174,-43.69735,342
37,139,EM JESUS SOARES PEREIRA,EM,RUA,138,CAMPO GRANDE,ZONA OESTE,-22.91959,-43.54684,316
38,146,EM BERNARDO VASCONCELOS,EM,PRACA,100,PENHA,ZONA NORTE,-22.84563,-43.28401,151
39,126,EM DUQUE DE CAXIAS,EM,RUA,74,GRAJAU,GRANDE TIJUCA,-22.91854,-43.26509,399
